Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
I_HomePage_GET,1809,2,2,3,3,4,1,226,0.000%,5.92891,131.02,2.11
II_HomePage_GET,17,15,3,3,3,226,2,226,0.000%,.05658,1.25,0.02
I_HomePage,1809,2,2,3,3,4,1,226,0.000%,5.92953,131.03,2.11
II_HomePage,18,15,3,3,3,226,0,226,0.000%,.05990,1.25,0.02
II_GuestBook_GET,17,2,2,3,5,17,1,17,0.000%,.05663,0.23,0.02
II_GuestBook,17,2,2,3,5,17,1,17,0.000%,.05663,0.23,0.02
I_Clients_GET,1808,1,2,2,2,4,1,18,0.000%,5.93250,35.54,2.27
I_sendComment_Clients,1808,1,2,2,2,4,1,18,0.000%,5.93250,35.54,2.27
I_GuestBook_GET,1808,1,1,2,2,3,1,4,0.000%,5.93289,23.82,2.39
I_GuestBook,1808,1,2,2,2,3,1,4,0.000%,5.93289,23.82,2.39
I_SendCommentServiceGuestBook_POST,1808,5,2,9,38,44,1,124,5.199%,5.93291,1.84,2.98
I_SendCommentServiceGuestBook_GET,1808,2,2,3,4,9,1,19,0.000%,5.93382,18.12,1.81
I_SendComment,1808,7,4,11,41,51,2,130,5.199%,5.93273,19.95,4.78
I_CheckComment_GET,1808,1,2,2,2,4,1,5,0.000%,5.93415,23.83,2.50
I_CheckCommentServiceGuestBook_GET,1808,2,2,5,7,10,1,14,5.199%,5.93417,18.09,1.95
I_CheckComment,1808,4,4,7,9,14,2,15,5.199%,5.93409,41.93,4.45
II_SELECT,17,9,1,6,7,122,0,122,0.000%,.05663,0.00,0.00
II_CountRecords,17,9,1,6,7,122,0,122,0.000%,.05663,0.00,0.00
II_TRUNCATE,16,0,1,1,1,1,0,1,0.000%,.05333,0.00,0.00
TOTAL,21817,2,2,4,7,15,0,226,1.723%,71.48755,507.00,32.05
