timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585851295775,61529,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851295775,14264,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851295775,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851296776,61543,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851296776,12100,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851296776,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851297776,61577,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851297776,12425,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851297776,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851298776,61578,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851298776,12453,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851298776,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851299777,61578,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851299777,12496,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851299777,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851300777,61674,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851300777,9022,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851300777,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851301778,61681,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851301778,18585,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851301778,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851302778,61696,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851302778,10755,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851302778,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851303779,61696,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851303779,13300,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851303779,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851304780,61696,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851304780,11305,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851304780,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851305781,61687,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851305781,12118,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851305781,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851306781,61679,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851306781,12973,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851306781,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851307782,61671,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851307782,15856,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851307782,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851308783,61670,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851308783,12521,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851308783,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851309783,61663,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
1585851309783,7425,localhost CPU,,,,,true,,0,0,0,0,null,0,0,0
1585851309783,0,localhost Disks I/O,,,,,true,,0,0,0,0,null,0,0,0
1585851310783,61662,localhost Memory,,,,,true,,0,0,0,0,null,0,0,0
