timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1585851294246,33,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,31,0,18
1585851294246,33,II_HomePage_GET,200,,clearGuestbookHistory 2-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,31,0,18
1585851294173,33,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,31,75,18
1585851294173,33,II_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,22628,365,1,2,null,31,75,18
1585851294282,5,II_GuestBook_GET,200,,clearGuestbookHistory 2-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,5,0,0
1585851294282,5,II_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,4112,412,1,2,null,5,0,0
1585851294282,4,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,4,0,0
1585851294282,4,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,4,6,0
1585851294292,3,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851294292,3,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,3,0,0
1585851294296,30,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,457,1,2,http://localhost:8090/service/guestbook,30,0,0
1585851294326,4,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,2769,312,1,2,http://localhost:8090/service/guestbook,4,0,0
1585851294295,34,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,3043,769,1,2,null,34,2,0
1585851294331,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851294334,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,2769,337,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851294331,6,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,6881,768,1,2,null,6,1,0
1585851294288,141,II_SELECT,200,OK,clearGuestbookHistory 2-1,text,true,,12,0,1,2,null,139,0,128
1585851294287,141,II_CountRecords,200,"Number of samples in transaction : 1, number of failing samples : 0",clearGuestbookHistory 2-1,,true,,12,0,1,2,null,139,1,128
1585851294472,1,II_TRUNCATE,200,OK,clearGuestbookHistory 2-1,text,true,,9,0,1,2,null,1,0,0
1585851295339,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,3,0,0
1585851294338,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,3,1001,0
1585851295342,3,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,3,0,0
1585851295342,3,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,3,1,0
1585851295346,3,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851295346,3,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,3,1,0
1585851295350,4,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,495,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851295354,2,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,312,312,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851295350,6,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,586,807,1,2,null,5,0,0
1585851295357,2,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,2,0,0
1585851295359,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,312,337,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851295356,5,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4424,768,1,2,null,5,1,0
1585851295863,4,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,3,0,0
1585851295362,4,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,3,501,0
1585851295867,4,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,4,0,0
1585851295867,4,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,4,0,0
1585851295871,3,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851295871,3,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,3,0,0
1585851295875,2,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,466,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851295878,2,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,348,312,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851295874,4,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,622,778,1,2,null,4,2,0
1585851295881,2,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,2,0,0
1585851295883,14,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,348,337,1,2,http://localhost:8090/service/guestbook,14,0,0
1585851295880,16,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4460,768,1,2,null,16,2,0
1585851296399,4,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,4,0,1
1585851295898,4,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,4,501,1
1585851296403,3,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,3,0,0
1585851296403,3,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,3,0,0
1585851296407,3,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851296407,3,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,3,1,0
1585851296411,3,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,495,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851296414,2,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,388,312,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851296411,5,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,662,807,1,2,null,5,1,0
1585851296417,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851296420,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,388,337,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851296417,6,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4500,768,1,2,null,6,0,0
1585851296925,4,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,4,0,0
1585851296423,4,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,4,502,0
1585851296929,3,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,3,0,0
1585851296929,3,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,3,0,0
1585851296933,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,2,0,0
1585851296932,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,2,2,0
1585851296936,3,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,524,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851296939,3,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,436,312,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851296936,6,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,710,836,1,2,null,5,0,0
1585851296942,2,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,2,0,0
1585851296945,2,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,436,337,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851296942,4,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4548,768,1,2,null,4,1,0
1585851297449,4,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,4,0,0
1585851296947,4,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,4,503,0
1585851297454,2,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,2,0,0
1585851297454,2,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,2,1,0
1585851297457,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,2,0,0
1585851297457,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,2,1,0
1585851297460,3,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,537,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851297463,2,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,488,312,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851297460,5,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,762,849,1,2,null,5,1,0
1585851297466,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851297469,2,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,488,337,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851297466,5,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4600,768,1,2,null,5,1,0
1585851297973,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,2,0,0
1585851297472,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,2,501,0
1585851297976,3,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,3,0,0
1585851297976,3,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,3,0,0
1585851297979,3,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851297979,3,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,3,0,0
1585851297982,3,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,494,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851297985,3,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,526,312,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851297982,6,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,800,806,1,2,null,6,0,0
1585851297989,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851297992,2,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,526,337,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851297988,5,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4638,768,1,2,null,5,2,0
1585851298497,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,2,0,0
1585851297995,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,2,502,0
1585851298500,3,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,3,0,0
1585851298500,3,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,3,0,0
1585851298504,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,2,0,0
1585851298503,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,2,2,0
1585851298507,3,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,507,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851298511,2,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,569,312,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851298507,5,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,843,819,1,2,null,5,1,0
1585851298513,2,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,2,0,0
1585851298515,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,569,337,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851298513,5,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4681,768,1,2,null,5,0,0
1585851298518,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,3,0,0
1585851298518,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,3,0,0
1585851298522,2,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,2,0,0
1585851298521,2,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,2,1,0
1585851298524,3,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851298524,3,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,3,1,0
1585851298528,3,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,505,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851298531,2,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,610,312,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851298528,5,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,884,817,1,2,null,5,1,0
1585851298534,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851298537,3,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,610,337,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851298534,6,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4722,768,1,2,null,6,0,0
1585851299042,2,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,2,0,0
1585851298540,2,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,2,503,0
1585851299045,3,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,3,0,0
1585851299045,3,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,3,0,0
1585851299049,3,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851299048,3,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,3,1,0
1585851299052,3,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,593,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851299055,2,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,682,312,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851299052,5,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,956,905,1,2,null,5,0,0
1585851299058,2,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,2,0,0
1585851299060,2,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,682,337,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851299057,4,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4794,768,1,2,null,4,1,0
1585851299564,2,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,2,0,0
1585851299063,2,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,2,502,0
1585851299567,3,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,3,0,0
1585851299567,3,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,3,1,0
1585851299571,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,2,0,0
1585851299571,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,2,1,0
1585851299574,3,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,474,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851299577,2,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,712,312,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851299574,5,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,986,786,1,2,null,5,0,0
1585851299579,3,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,3,0,0
1585851299582,2,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,712,337,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851299579,5,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4824,768,1,2,null,5,1,0
1585851300086,4,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,3,0,0
1585851299585,4,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,3,503,0
1585851300092,2,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,2,0,0
1585851300092,2,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,2,1,0
1585851300095,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,2,0,0
1585851300095,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,2,1,0
1585851300098,3,I_SendCommentServiceGuestBook_POST,200,,sendComment 1-1,text,true,,274,577,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851300101,3,I_SendCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,780,312,1,2,http://localhost:8090/service/guestbook,3,0,0
1585851300098,6,I_SendComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,1054,889,1,2,null,6,0,0
1585851300104,2,I_CheckComment_GET,200,,sendComment 1-1,text,true,,4112,431,1,2,http://localhost:8090/guestbook.html,2,0,0
1585851300107,2,I_CheckCommentServiceGuestBook_GET,200,,sendComment 1-1,text,true,,780,337,1,2,http://localhost:8090/service/guestbook,2,0,0
1585851300104,4,I_CheckComment,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,4892,768,1,2,null,4,2,0
1585851300611,3,I_HomePage_GET,200,,sendComment 1-1,text,true,,22628,365,1,2,http://localhost:8090/index.html,3,0,1
1585851300110,3,I_HomePage,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22628,365,1,2,null,3,502,1
1585851300615,2,I_Clients_GET,200,,sendComment 1-1,text,true,,6135,392,1,2,http://localhost:8090/clients.html,2,0,0
1585851300615,2,I_sendComment_Clients,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,392,1,2,null,2,0,0
1585851300618,2,I_GuestBook_GET,200,,sendComment 1-1,text,true,,4112,412,1,2,http://localhost:8090/guestbook.html,2,0,0
1585851300618,2,I_GuestBook,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,4112,412,1,2,null,2,0,0
